GasPrice.1	GasPrice.2	GasPrice.3	ElePrice.1	ElePrice.2	ElePrice.3	VehPrice.1	VehPrice.2	VehPrice.3	mpg.1	mpg.2	mpg.3	mpg_unknown.1	mpg_unknown.2	mpg_unknown.3	mpg_known.1	mpg_known.2	mpg_known.3	range.1	range.2	range.3	size.1	size.2	size.3
3.8	3.8	0	0	0	4.67	2.2	2.8	2.8	0.26	0.28	1.33	0	0	0	0.26	0.28	1.33	0	0	0.9	1	2	0
3	3	0	0	0	4.75	3	2.4	2	0.2	0.48	1.1	0	0	0	0.2	0.48	1.1	0	0	0.9	1	0	1
4.18	4.18	0	0	0	4.31	1.3	2.4	2.4	0.35	0.46	1.13	0.35	0.46	1.13	0	0	0	0	0	1.15	0	0	1
4.25	4.25	0	0	0	4.5	2.2	2.8	3.2	0.2	0.4	1	0	0	0	0.2	0.4	1	0	0	0.75	1	1	1
4.55	4.55	0	0	0	5.11	2.6	2.1	1.8	0.34	0.5	1.13	0	0	0	0.34	0.5	1.13	0	0	0.75	1	0	0
3.25	3.25	0	0	0	5.25	1.6	2.8	1.8	0.38	0.4	1.2	0	0	0	0.38	0.4	1.2	0	0	1	0	0	0
4.25	4.25	0	0	0	4	2.2	2.8	1.8	0.32	0.4	1.2	0	0	0	0.32	0.4	1.2	0	0	1	1	0	0
3.75	3.75	0	0	0	5.25	3.5	2	3.2	0.18	0.45	1.1	0.18	0.45	1.1	0	0	0	0	0	0.9	2	1	1
3	3	0	0	0	4.5	1.8	3.2	2.8	0.28	0.45	1.1	0	0	0	0.28	0.45	1.1	0	0	0.7	1	1	0
4.25	4.25	0	0	0	4.5	2.2	3.2	2.4	0.2	0.45	0.8	0.2	0.45	0.8	0	0	0	0	0	1.1	1	1	1
3.25	3.25	0	0	0	4.25	2.8	2	2	0.14	0.35	0.8	0	0	0	0.14	0.35	0.8	0	0	0.6	2	1	1
3.75	3.75	0	0	0	5	3.5	4.3	2.8	0.26	0.3	0.8	0	0	0	0.26	0.3	0.8	0	0	0.75	2	2	1
4	4	0	0	0	5	1.3	2.4	2	0.28	0.52	0.9	0.28	0.52	0.9	0	0	0	0	0	1.1	0	0	1
4.52	4.52	0	0	0	4.73	2.6	5	2	0.3	0.24	0.83	0.3	0.24	0.83	0	0	0	0	0	0.95	1	2	1
3.75	3.75	0	0	0	4.75	3.5	4.3	2.8	0.26	0.3	0.8	0	0	0	0.26	0.3	0.8	0	0	0.75	2	2	1
3	3	0	0	0	5.25	1.8	2.8	1.8	0.24	0.5	1.1	0.24	0.5	1.1	0	0	0	0	0	1	1	1	0
4.12	4.12	0	0	0	5.88	3	3.2	3.2	0.44	0.62	1.28	0.44	0.62	1.28	0	0	0	0	0	0.9	1	1	1
3	3	0	0	0	5	3	5	2.8	0.32	0.3	1.3	0	0	0	0.32	0.3	1.3	0	0	0.6	1	2	0
3.44	3.44	0	0	0	4.05	5	5	2.8	0.15	0.24	0.93	0	0	0	0.15	0.24	0.93	0	0	0.65	2	2	1
3	3	0	0	0	4.75	1.3	2.1	2.8	0.38	0.44	1	0.38	0.44	1	0	0	0	0	0	0.85	0	0	0
3	3	0	0	0	5	4.3	3.2	2.4	0.18	0.5	1	0.18	0.5	1	0	0	0	0	0	0.9	2	1	1
4.25	4.25	0	0	0	4.5	2.6	1.8	2.8	0.32	0.44	1.1	0.32	0.44	1.1	0	0	0	0	0	1.1	1	0	1
3.75	3.75	0	0	0	4	3	3.5	2.4	0.24	0.27	1	0.24	0.27	1	0	0	0	0	0	1	1	2	0
3.39	3.39	0	0	0	5.12	1.8	2.4	2.8	0.22	0.52	1.03	0	0	0	0.22	0.52	1.03	0	0	0.95	1	1	1
4.25	4.25	0	0	0	4	2.6	2.8	2.8	0.28	0.45	1	0.28	0.45	1	0	0	0	0	0	0.6	1	1	1
3.25	3.25	0	0	0	4	1.8	2.8	3.2	0.28	0.48	0.9	0	0	0	0.28	0.48	0.9	0	0	0.75	1	0	1
3.26	3.26	0	0	0	5.43	1.8	2.4	2.4	0.22	0.52	1.23	0	0	0	0.22	0.52	1.23	0	0	0.9	1	1	0
4.26	4.26	0	0	0	4.78	2	2.1	2	0.4	0.5	0.93	0	0	0	0.4	0.5	0.93	0	0	0.8	0	0	1
3.03	3.03	0	0	0	5.39	2	2.4	2.4	0.26	0.37	1.13	0.26	0.37	1.13	0	0	0	0	0	0.8	0	1	1
3.45	3.45	0	0	0	4.77	3	2.4	2.8	0.3	0.37	1.23	0	0	0	0.3	0.37	1.23	0	0	1.05	1	1	0
3.25	3.25	0	0	0	5.25	1.6	3.2	1.8	0.38	0.35	1.2	0.38	0.35	1.2	0	0	0	0	0	1	0	1	0
3.75	3.75	0	0	0	5	2	2.8	2.4	0.28	0.52	1	0.28	0.52	1	0	0	0	0	0	0.9	0	0	1
3.56	3.56	0	0	0	4.07	2.6	2.4	2.1	0.22	0.37	1.33	0.22	0.37	1.33	0	0	0	0	0	0.75	1	1	0
4.37	4.37	0	0	0	4.83	3.5	3.2	2.1	0.15	0.47	1.03	0.15	0.47	1.03	0	0	0	0	0	1.05	2	1	0
3	3	0	0	0	4.5	2	2.1	2.1	0.24	0.4	1.3	0	0	0	0.24	0.4	1.3	0	0	0.7	0	0	0
3.75	3.75	0	0	0	4.75	3	2.8	2	0.2	0.45	1.1	0	0	0	0.2	0.45	1.1	0	0	0.9	1	1	1
3	3	0	0	0	5.25	4.3	2.4	1.8	0.26	0.45	1.1	0	0	0	0.26	0.45	1.1	0	0	0.7	2	1	0
4.25	4.25	0	0	0	5	5	2.1	2.8	0.22	0.4	1.2	0.22	0.4	1.2	0	0	0	0	0	1	2	0	0
3.67	3.67	0	0	0	4.42	2.5	2.4	2	0.26	0.5	1.13	0	0	0	0.26	0.5	1.13	0	0	0.95	0	0	1
3.62	3.62	0	0	0	4.62	1.6	2.8	2.8	0.4	0.52	0.83	0.4	0.52	0.83	0	0	0	0	0	0.8	0	1	1
3.93	3.93	0	0	0	4.82	2.5	2.1	2.4	0.3	0.5	1.03	0.3	0.5	1.03	0	0	0	0	0	1.05	0	0	0
3.84	3.84	0	0	0	5.15	5	2	2.4	0.23	0.52	0.83	0	0	0	0.23	0.52	0.83	0	0	0.8	2	1	1
4.2	4.2	0	0	0	5.28	2.6	2.4	2	0.34	0.47	0.93	0	0	0	0.34	0.47	0.93	0	0	0.8	1	1	1
3.76	3.76	0	0	0	5.33	3	1.8	2.4	0.3	0.54	0.83	0	0	0	0.3	0.54	0.83	0	0	0.8	1	0	1
4.04	4.04	0	0	0	5.17	1.3	3.5	3.2	0.4	0.24	0.83	0.4	0.24	0.83	0	0	0	0	0	0.95	0	2	1
3.75	3.75	0	0	0	4.23	3	2.4	2.8	0.3	0.37	1.23	0.3	0.37	1.23	0	0	0	0	0	1.05	1	1	0
3.5	3.5	0	0	0	4.75	1.8	2.8	2	0.2	0.2	0.8	0	0	0	0.2	0.2	0.8	0	0	0.6	1	2	1
3.75	3.75	0	0	0	4	2.6	2.4	2.4	0.2	0.35	1.1	0	0	0	0.2	0.35	1.1	0	0	0.75	1	1	1
4	4	0	0	0	4.75	1.8	2.8	2.1	0.32	0.27	1.2	0	0	0	0.32	0.27	1.2	0	0	0.6	1	2	0
4	4	0	0	0	4.25	2.8	2	2	0.14	0.35	0.8	0	0	0	0.14	0.35	0.8	0	0	0.6	2	1	1
4.25	4.25	0	0	0	4.75	1.6	2.8	2.4	0.24	0.48	0.8	0.24	0.48	0.8	0	0	0	0	0	1.1	0	0	1
4.25	4.25	0	0	0	4.75	2.5	2.8	2.4	0.38	0.35	0.9	0	0	0	0.38	0.35	0.9	0	0	0.9	0	1	1
3	3	0	0	0	5	4.3	3.2	1.8	0.22	0.4	1	0	0	0	0.22	0.4	1	0	0	0.85	2	1	0
3.5	3.5	0	0	0	5.25	3.5	2.8	2.1	0.14	0.48	1	0	0	0	0.14	0.48	1	0	0	1	2	0	0
3.83	3.83	0	0	0	4.47	2	2.4	1.8	0.4	0.47	1.13	0.4	0.47	1.13	0	0	0	0	0	0.75	0	1	0
4.38	4.38	0	0	0	4.37	3.5	2.4	2.8	0.27	0.54	0.83	0	0	0	0.27	0.54	0.83	0	0	0.8	2	0	1
3.75	3.75	0	0	0	4.75	2.2	2	3.2	0.24	0.45	1.1	0.24	0.45	1.1	0	0	0	0	0	0.9	1	1	1
